ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
103    63.437162   180.000000   {  42,   12,  105,  115,   16,   46}, {( 66.863227, 203.553616), ( 56.878579, 197.295302), ( 52.626080, 180.000000), ( 56.878579, 162.704698), ( 66.863227, 156.446384), ( 73.528954, 180.000000)} 
104    46.357141   238.386178   { 102,  107,   22,   53,   52,   12}, {( 52.626080, 252.000000), ( 41.814943, 252.000000), ( 36.115262, 240.792136), ( 39.353214, 228.446384), ( 48.980751, 223.413729), ( 56.878579, 234.704698)} 
105    46.357141   193.613822   {  12,   52,   54,   23,  115,  103}, {( 48.980751, 208.586271), ( 39.353214, 203.553616), ( 36.115262, 191.207864), ( 41.814943, 180.000000), ( 52.626080, 180.000000), ( 56.878579, 197.295302)} 
106    63.437162   324.000000   {  44,   14,  110,  108,   13,   43}, {( 66.863227, 347.553616), ( 56.878579, 341.295302), ( 52.626080, 324.000000), ( 56.878579, 306.704698), ( 66.863227, 300.446384), ( 73.528954, 324.000000)} 
107    46.357141   265.613822   {  13,   57,   58,   22,  104,  102}, {( 48.980751, 280.586271), ( 39.353214, 275.553616), ( 36.115262, 263.207864), ( 41.814943, 252.000000), ( 52.626080, 252.000000), ( 56.878579, 269.295302)} 
108    46.357141   310.386178   { 106,  110,   26,   59,   57,   13}, {( 52.626080, 324.000000), ( 41.814943, 324.000000), ( 36.115262, 312.792136), ( 39.353214, 300.446384), ( 48.980751, 295.413729), ( 56.878579, 306.704698)} 
109    63.437162    36.000000   {  45,   15,  113,  111,   14,   44}, {( 66.863227,  59.553616), ( 56.878579,  53.295302), ( 52.626080,  36.000000), ( 56.878579,  18.704698), ( 66.863227,  12.446384), ( 73.528954,  36.000000)} 
110    46.357141   337.613822   {  14,   62,   63,   26,  108,  106}, {( 48.980751, 352.586271), ( 39.353214, 347.553616), ( 36.115262, 335.207864), ( 41.814943, 324.000000), ( 52.626080, 324.000000), ( 56.878579, 341.295302)} 
111    46.357141    22.386178   { 109,  113,   29,   64,   62,   14}, {( 52.626080,  36.000000), ( 41.814943,  36.000000), ( 36.115262,  24.792136), ( 39.353214,  12.446384), ( 48.980751,   7.413729), ( 56.878579,  18.704698)} 
112    63.437162   108.000000   {  46,   16,  116,  114,   15,   45}, {( 66.863227, 131.553616), ( 56.878579, 125.295302), ( 52.626080, 108.000000), ( 56.878579,  90.704698), ( 66.863227,  84.446384), ( 73.528954, 108.000000)} 
